pretty_id	gene_id	log2FoldChange	padj	Description	PFAMs	ips_ipr	ips_ipr_desc	ips_pathway	go_all
gene-IR01_00048	lcl|NW_015622504.1_cds_XP_016227719.1_49	1.28641563132581	0.000198881010639797	Scaffold protein for the de novo synthesis of iron- sulfur (Fe-S) clusters within mitochondria, which is required for maturation of both mitochondrial and cytoplasmic 2Fe-2S and 4Fe-4S proteins	NifU_N				GO:0002097,GO:0002098,GO:0003674,GO:0003824,GO:0005488,GO:0005506,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005759,GO:0006139,GO:0006396,GO:0006399,GO:0006400,GO:0006725,GO:0006790,GO:0006807,GO:0006873,GO:0006875,GO:0006879,GO:0008033,GO:0008150,GO:0008152,GO:0008198,GO:0009451,GO:0009987,GO:0010467,GO:0016043,GO:0016070,GO:0016226,GO:0016740,GO:0016782,GO:0019538,GO:0019725,GO:0022607,GO:0030003,GO:0031163,GO:0031974,GO:0034470,GO:0034641,GO:0034660,GO:0036455,GO:0042592,GO:0043167,GO:0043169,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0043412,GO:0044085,GO:0044237,GO:0044238,GO:0044422,GO:0044424,GO:0044429,GO:0044444,GO:0044446,GO:0044464,GO:0044571,GO:0046483,GO:0046872,GO:0046914,GO:0046916,GO:0048037,GO:0048878,GO:0050801,GO:0051186,GO:0051536,GO:0051537,GO:0051539,GO:0051540,GO:0051604,GO:0055065,GO:0055072,GO:0055076,GO:0055080,GO:0055082,GO:0065007,GO:0065008,GO:0070013,GO:0071704,GO:0071840,GO:0090304,GO:0097428,GO:0098771,GO:1901360,GO:1901564
gene-IR01_00060	lcl|NW_015622504.1_cds_XP_016227731.1_61	1.85999968671581	6.03715355097324e-07	Belongs to the mitochondrial carrier (TC 2.A.29) family	Mito_carr				GO:0000295,GO:0003674,GO:0005215,GO:0005346,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005740,GO:0005743,GO:0006810,GO:0006811,GO:0006820,GO:0006839,GO:0006862,GO:0008150,GO:0008509,GO:0008514,GO:0015075,GO:0015215,GO:0015216,GO:0015605,GO:0015711,GO:0015748,GO:0015865,GO:0015868,GO:0015931,GO:0015932,GO:0016020,GO:0016021,GO:0019866,GO:0022857,GO:0031090,GO:0031224,GO:0031966,GO:0031967,GO:0031975,GO:0034220,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044422,GO:0044424,GO:0044425,GO:0044429,GO:0044444,GO:0044446,GO:0044464,GO:0046963,GO:0046964,GO:0051179,GO:0051234,GO:0051503,GO:0055085,GO:0071702,GO:0071705,GO:0072348,GO:0072530,GO:0098656,GO:1901264,GO:1901505,GO:1901679,GO:1901682,GO:1902557,GO:1902558,GO:1902559,GO:1990542,GO:1990553,GO:1990554
gene-IR01_00131	lcl|NW_015622504.1_cds_XP_016227814.1_144	3.22318465535156	2.75916877351214e-14	Belongs to the aconitase IPM isomerase family	Aconitase,Aconitase_C				GO:0000002,GO:0003674,GO:0003676,GO:0003677,GO:0003690,GO:0003697,GO:0003824,GO:0003994,GO:0005488,GO:0005575,GO:0005576,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005759,GO:0005829,GO:0006082,GO:0006091,GO:0006099,GO:0006101,GO:0006520,GO:0006536,GO:0006807,GO:0006996,GO:0007005,GO:0008150,GO:0008152,GO:0009060,GO:0009064,GO:0009295,GO:0009605,GO:0009607,GO:0009987,GO:0015980,GO:0016043,GO:0016829,GO:0016835,GO:0016836,GO:0016999,GO:0017144,GO:0019752,GO:0031012,GO:0031347,GO:0031349,GO:0031974,GO:0035821,GO:0042645,GO:0043207,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0043436,GO:0043648,GO:0044003,GO:0044237,GO:0044238,GO:0044281,GO:0044403,GO:0044416,GO:0044419,GO:0044421,GO:0044422,GO:0044424,GO:0044429,GO:0044444,GO:0044446,GO:0044464,GO:0045333,GO:0048518,GO:0048583,GO:0048584,GO:0050789,GO:0050896,GO:0051701,GO:0051704,GO:0051707,GO:0051817,GO:0052031,GO:0052173,GO:0052200,GO:0052251,GO:0052255,GO:0052509,GO:0052510,GO:0055114,GO:0062039,GO:0062040,GO:0065007,GO:0070013,GO:0071704,GO:0071840,GO:0072350,GO:0075136,GO:0080134,GO:0097159,GO:1901363,GO:1901564,GO:1901605
gene-IR01_00176	lcl|NW_015622504.1_cds_XP_016227865.1_195	2.90579319146633	2.10350764113002e-10	Mitochondrial small ribosomal subunit Rsm22	Rsm22				GO:0000313,GO:0000314,GO:0003674,GO:0003735,GO:0005198,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005759,GO:0005761,GO:0005763,GO:0005840,GO:0006412,GO:0006518,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0015935,GO:0019538,GO:0031974,GO:0032543,GO:0032991,GO:0034641,GO:0034645,GO:0043043,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044429,GO:0044444,GO:0044446,GO:0044464,GO:0070013,GO:0071704,GO:0098798,GO:0140053,GO:1901564,GO:1901566,GO:1901576,GO:1990904
gene-IR01_00205	lcl|NW_015622504.1_cds_XP_016227893.1_224	-0.795368055960732	0.0289805357544671	Promotes mitochondrial protein synthesis. May act as a fidelity factor of the translation reaction, by catalyzing a one- codon backward translocation of tRNAs on improperly translocated ribosomes. Binds to mitochondrial ribosomes in a GTP-dependent manner	EFG_C,GTP_EFTU,GTP_EFTU_D2,LepA_C				GO:0000166,GO:0001882,GO:0001883,GO:0003674,GO:0003824,GO:0003924,GO:0005488,GO:0005525,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005737,GO:0005739,GO:0005759,GO:0006417,GO:0008150,GO:0009889,GO:0009891,GO:0009893,GO:0010468,GO:0010556,GO:0010557,GO:0010604,GO:0010608,GO:0010628,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0017076,GO:0017111,GO:0019001,GO:0019222,GO:0031323,GO:0031325,GO:0031326,GO:0031328,GO:0031974,GO:0032268,GO:0032270,GO:0032549,GO:0032550,GO:0032553,GO:0032555,GO:0032561,GO:0034248,GO:0034250,GO:0035639,GO:0036094,GO:0043021,GO:0043022,GO:0043167,GO:0043168,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0044422,GO:0044424,GO:0044429,GO:0044444,GO:0044446,GO:0044464,GO:0044877,GO:0045727,GO:0048518,GO:0048522,GO:0050789,GO:0050794,GO:0051171,GO:0051173,GO:0051246,GO:0051247,GO:0060255,GO:0065007,GO:0070013,GO:0070129,GO:0070131,GO:0080090,GO:0097159,GO:0097367,GO:1901265,GO:1901363,GO:2000112
gene-IR01_00245	lcl|NW_015622504.1_cds_XP_016227937.1_267	-0.535961328518434	0.0196284044127048	Iron-sulfur clusters transporter atm1, mitochondrial	ABC_membrane,ABC_tran				GO:0000166,GO:0003674,GO:0003824,GO:0005215,GO:0005488,GO:0005524,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005740,GO:0005743,GO:0006790,GO:0006810,GO:0006839,GO:0006873,GO:0006875,GO:0006879,GO:0008144,GO:0008150,GO:0008152,GO:0009987,GO:0015399,GO:0015405,GO:0016020,GO:0016021,GO:0016043,GO:0016226,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017076,GO:0017111,GO:0019725,GO:0019866,GO:0022607,GO:0022804,GO:0022857,GO:0030003,GO:0030554,GO:0031090,GO:0031163,GO:0031224,GO:0031966,GO:0031967,GO:0031975,GO:0032553,GO:0032555,GO:0032559,GO:0035639,GO:0036094,GO:0042592,GO:0042623,GO:0042626,GO:0043167,GO:0043168,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043492,GO:0044085,GO:0044237,GO:0044422,GO:0044424,GO:0044425,GO:0044429,GO:0044444,GO:0044446,GO:0044464,GO:0046916,GO:0048878,GO:0050801,GO:0051179,GO:0051186,GO:0051234,GO:0055065,GO:0055072,GO:0055076,GO:0055080,GO:0055082,GO:0055085,GO:0065007,GO:0065008,GO:0071840,GO:0097159,GO:0097367,GO:0098771,GO:1901265,GO:1901363,GO:1990542
gene-IR01_00305	lcl|NW_015622504.1_cds_XP_016228003.1_333	-1.77625395054295	1.60156301468353e-05	Belongs to the mitochondrial carrier (TC 2.A.29) family	Mito_carr				
gene-IR01_00339	lcl|NW_015622504.1_cds_XP_016228040.1_370	0.784851420695639	0.0452663764017378	Belongs to the complex I LYR family	Complex1_LYR				
gene-IR01_00340	lcl|NW_015622504.1_cds_XP_016228041.1_371	2.08735903966399	1.48929590515613e-12	Dihydrolipoyllysine-residue succinyltransferase, E2 component	2-oxoacid_dh,Biotin_lipoyl				GO:0000002,GO:0003674,GO:0003824,GO:0004149,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005759,GO:0005947,GO:0006082,GO:0006091,GO:0006099,GO:0006101,GO:0006103,GO:0006996,GO:0007005,GO:0008150,GO:0008152,GO:0009060,GO:0009295,GO:0009353,GO:0009987,GO:0015980,GO:0016043,GO:0016417,GO:0016740,GO:0016746,GO:0016747,GO:0016748,GO:0016751,GO:0016999,GO:0017144,GO:0019752,GO:0030062,GO:0031974,GO:0032991,GO:0042645,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0043436,GO:0043648,GO:0044237,GO:0044238,GO:0044281,GO:0044422,GO:0044424,GO:0044429,GO:0044444,GO:0044446,GO:0044464,GO:0045239,GO:0045240,GO:0045252,GO:0045333,GO:0051186,GO:0055114,GO:0070013,GO:0071704,GO:0071840,GO:0072350,GO:0098798,GO:0140096,GO:1902494,GO:1990204,GO:1990234
gene-IR01_00387	lcl|NW_015622504.1_cds_XP_016228106.1_436	2.13686272129356	3.74828870144753e-05	Belongs to the isocitrate and isopropylmalate dehydrogenases family	Iso_dh				GO:0003674,GO:0003824,GO:0004448,GO:0004450,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005759,GO:0005777,GO:0005829,GO:0006082,GO:0006091,GO:0006099,GO:0006101,GO:0006102,GO:0006139,GO:0006520,GO:0006536,GO:0006537,GO:0006629,GO:0006631,GO:0006635,GO:0006725,GO:0006732,GO:0006733,GO:0006739,GO:0006740,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0008652,GO:0009056,GO:0009058,GO:0009060,GO:0009062,GO:0009064,GO:0009084,GO:0009117,GO:0009295,GO:0009987,GO:0015980,GO:0016042,GO:0016053,GO:0016054,GO:0016491,GO:0016614,GO:0016616,GO:0016999,GO:0017144,GO:0019362,GO:0019395,GO:0019637,GO:0019752,GO:0030258,GO:0031974,GO:0032787,GO:0034440,GO:0034641,GO:0042579,GO:0042645,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0043436,GO:0043648,GO:0043650,GO:0044237,GO:0044238,GO:0044242,GO:0044248,GO:0044249,GO:0044255,GO:0044281,GO:0044282,GO:0044283,GO:0044422,GO:0044424,GO:0044429,GO:0044444,GO:0044446,GO:0044464,GO:0045333,GO:0046394,GO:0046395,GO:0046483,GO:0046496,GO:0051186,GO:0055086,GO:0055114,GO:0070013,GO:0071704,GO:0072329,GO:0072350,GO:0072524,GO:1901360,GO:1901564,GO:1901566,GO:1901575,GO:1901576,GO:1901605,GO:1901607
