pretty_id	gene_id	log2FoldChange	padj	Description	PFAMs	ips_ipr	ips_ipr_desc	ips_pathway	go_all	text	pfam_is_metal	pfam_is_transporterish	is_metal	is_abc_like	is_mfs_like	mdr_kw_hit	is_mdr	is_nutr
gene-IR01_00245	lcl|NW_015622504.1_cds_XP_016227937.1_267	-0.535961328518434	0.0196284044127048	Iron-sulfur clusters transporter atm1, mitochondrial	ABC_membrane,ABC_tran				GO:0000166,GO:0003674,GO:0003824,GO:0005215,GO:0005488,GO:0005524,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005740,GO:0005743,GO:0006790,GO:0006810,GO:0006839,GO:0006873,GO:0006875,GO:0006879,GO:0008144,GO:0008150,GO:0008152,GO:0009987,GO:0015399,GO:0015405,GO:0016020,GO:0016021,GO:0016043,GO:0016226,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017076,GO:0017111,GO:0019725,GO:0019866,GO:0022607,GO:0022804,GO:0022857,GO:0030003,GO:0030554,GO:0031090,GO:0031163,GO:0031224,GO:0031966,GO:0031967,GO:0031975,GO:0032553,GO:0032555,GO:0032559,GO:0035639,GO:0036094,GO:0042592,GO:0042623,GO:0042626,GO:0043167,GO:0043168,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043492,GO:0044085,GO:0044237,GO:0044422,GO:0044424,GO:0044425,GO:0044429,GO:0044444,GO:0044446,GO:0044464,GO:0046916,GO:0048878,GO:0050801,GO:0051179,GO:0051186,GO:0051234,GO:0055065,GO:0055072,GO:0055076,GO:0055080,GO:0055082,GO:0055085,GO:0065007,GO:0065008,GO:0071840,GO:0097159,GO:0097367,GO:0098771,GO:1901265,GO:1901363,GO:1990542	Iron-sulfur clusters transporter atm1, mitochondrial | ABC_membrane,ABC_tran | NA | NA	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE
gene-IR01_02175	lcl|NW_015622505.1_cds_XP_016225940.1_2401	5.87665392237256	2.58373554870423e-23	Belongs to the cation transport ATPase (P-type) (TC 3.A.3) family	Cation_ATPase,Cation_ATPase_C,Cation_ATPase_N,E1-E2_ATPase,Hydrolase				GO:0000322,GO:0000323,GO:0000324,GO:0003674,GO:0003824,GO:0005215,GO:0005388,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005773,GO:0005886,GO:0006810,GO:0006811,GO:0006812,GO:0006813,GO:0006814,GO:0006816,GO:0006873,GO:0006874,GO:0006875,GO:0006950,GO:0006970,GO:0006972,GO:0007154,GO:0008150,GO:0008324,GO:0008554,GO:0008556,GO:0009267,GO:0009268,GO:0009605,GO:0009628,GO:0009651,GO:0009987,GO:0009991,GO:0015075,GO:0015077,GO:0015079,GO:0015081,GO:0015085,GO:0015318,GO:0015399,GO:0015405,GO:0015662,GO:0015672,GO:0016020,GO:0016021,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017111,GO:0019725,GO:0019829,GO:0022804,GO:0022853,GO:0022857,GO:0022890,GO:0030001,GO:0030003,GO:0031224,GO:0031667,GO:0031668,GO:0031669,GO:0033554,GO:0034220,GO:0035725,GO:0042149,GO:0042592,GO:0042594,GO:0042623,GO:0042625,GO:0042626,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043492,GO:0044424,GO:0044425,GO:0044444,GO:0044464,GO:0046873,GO:0048878,GO:0050801,GO:0050896,GO:0051179,GO:0051208,GO:0051234,GO:0051235,GO:0051716,GO:0055065,GO:0055074,GO:0055080,GO:0055082,GO:0055085,GO:0065007,GO:0065008,GO:0070588,GO:0070838,GO:0071435,GO:0071496,GO:0071804,GO:0071805,GO:0071944,GO:0072503,GO:0072507,GO:0072511,GO:0090662,GO:0097623,GO:0098655,GO:0098660,GO:0098662,GO:0098771,GO:0099131,GO:0099132,GO:0140115	Belongs to the cation transport ATPase (P-type) (TC 3.A.3) family | Cation_ATPase,Cation_ATPase_C,Cation_ATPase_N,E1-E2_ATPase,Hydrolase | NA | NA	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
gene-IR01_02233	lcl|NW_015622505.1_cds_XP_016226006.1_2468	-2.72459188353621	5.76732870886622e-07	ZIP Zinc transporter	Zip				GO:0000007,GO:0000041,GO:0003674,GO:0005215,GO:0005385,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005783,GO:0005886,GO:0006810,GO:0006811,GO:0006812,GO:0006829,GO:0008150,GO:0008324,GO:0012505,GO:0015075,GO:0015318,GO:0016020,GO:0016021,GO:0022857,GO:0022890,GO:0030001,GO:0031224,GO:0034220,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044425,GO:0044444,GO:0044464,GO:0046873,GO:0046915,GO:0051179,GO:0051234,GO:0055085,GO:0070838,GO:0071577,GO:0071944,GO:0072509,GO:0072511,GO:0098655,GO:0098660,GO:0098662	ZIP Zinc transporter | Zip | NA | NA	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
gene-IR01_02606	lcl|NW_015622505.1_cds_XP_016226414.1_2874	4.18797380585383	0.0350632139296494	ZIP Zinc transporter	Zip					ZIP Zinc transporter | Zip | NA | NA	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
gene-IR01_02607	lcl|NW_015622505.1_cds_XP_016226413.1_2875	3.8887687462658	3.65261684199459e-19	ZIP Zinc transporter	Zip					ZIP Zinc transporter | Zip | NA | NA	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
gene-IR01_02863	lcl|NW_015622505.1_cds_XP_016226702.1_3163	-0.879977990675446	0.00172816387581236	Belongs to the cation transport ATPase (P-type) (TC 3.A.3) family. Type IV subfamily	Cation_ATPase,E1-E2_ATPase,Hydrolase,PhoLip_ATPase_C,PhoLip_ATPase_N				GO:0000028,GO:0000749,GO:0003674,GO:0003824,GO:0004012,GO:0005215,GO:0005319,GO:0005548,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005783,GO:0005794,GO:0005802,GO:0005886,GO:0006810,GO:0006811,GO:0006820,GO:0006869,GO:0006886,GO:0006892,GO:0006897,GO:0006900,GO:0006996,GO:0008104,GO:0008150,GO:0009987,GO:0010033,GO:0010876,GO:0012505,GO:0015031,GO:0015711,GO:0015748,GO:0015833,GO:0015914,GO:0016020,GO:0016021,GO:0016043,GO:0016050,GO:0016192,GO:0016197,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017111,GO:0019236,GO:0022607,GO:0022613,GO:0022618,GO:0031136,GO:0031137,GO:0031139,GO:0031224,GO:0031984,GO:0032456,GO:0032991,GO:0033036,GO:0034204,GO:0034613,GO:0034622,GO:0042221,GO:0042254,GO:0042255,GO:0042274,GO:0042623,GO:0042886,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043492,GO:0043900,GO:0043902,GO:0043933,GO:0044085,GO:0044422,GO:0044424,GO:0044425,GO:0044431,GO:0044444,GO:0044446,GO:0044464,GO:0045184,GO:0045332,GO:0046907,GO:0046999,GO:0048193,GO:0048194,GO:0048518,GO:0048522,GO:0050789,GO:0050794,GO:0050896,GO:0051179,GO:0051234,GO:0051641,GO:0051649,GO:0051716,GO:0061024,GO:0065003,GO:0065007,GO:0065008,GO:0070727,GO:0070887,GO:0070925,GO:0071310,GO:0071444,GO:0071702,GO:0071705,GO:0071826,GO:0071840,GO:0071944,GO:0097035,GO:0098657,GO:0098791,GO:1990530,GO:2000241,GO:2000243	Belongs to the cation transport ATPase (P-type) (TC 3.A.3) family. Type IV subfamily | Cation_ATPase,E1-E2_ATPase,Hydrolase,PhoLip_ATPase_C,PhoLip_ATPase_N | NA | NA	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
gene-IR01_03270	lcl|NW_015622505.1_cds_XP_016227148.1_3609	5.35359465947571	6.36517416846538e-35	Belongs to the cation transport ATPase (P-type) (TC 3.A.3) family	Cation_ATPase,Cation_ATPase_C,Cation_ATPase_N,E1-E2_ATPase,Hydrolase				GO:0000322,GO:0000323,GO:0000324,GO:0003674,GO:0003824,GO:0005215,GO:0005388,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005773,GO:0005886,GO:0006810,GO:0006811,GO:0006812,GO:0006813,GO:0006816,GO:0006873,GO:0006874,GO:0006875,GO:0008150,GO:0008324,GO:0008556,GO:0009987,GO:0015075,GO:0015077,GO:0015079,GO:0015085,GO:0015318,GO:0015399,GO:0015405,GO:0015662,GO:0015672,GO:0016020,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017111,GO:0019725,GO:0019829,GO:0022804,GO:0022853,GO:0022857,GO:0022890,GO:0030001,GO:0030003,GO:0034220,GO:0042592,GO:0042623,GO:0042625,GO:0042626,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043492,GO:0044424,GO:0044444,GO:0044464,GO:0046873,GO:0048878,GO:0050801,GO:0051179,GO:0051208,GO:0051234,GO:0051235,GO:0055065,GO:0055074,GO:0055080,GO:0055082,GO:0055085,GO:0065007,GO:0065008,GO:0070588,GO:0070838,GO:0071435,GO:0071804,GO:0071805,GO:0071944,GO:0072503,GO:0072507,GO:0072511,GO:0090662,GO:0097623,GO:0098655,GO:0098660,GO:0098662,GO:0098771,GO:0099131,GO:0099132,GO:0140115	Belongs to the cation transport ATPase (P-type) (TC 3.A.3) family | Cation_ATPase,Cation_ATPase_C,Cation_ATPase_N,E1-E2_ATPase,Hydrolase | NA | NA	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
gene-IR01_03715	lcl|NW_015622505.1_cds_XP_016227631.1_4092	1.99762362880097	2.14431739439375e-16	Cu2 -exporting ATPase	E1-E2_ATPase,HMA,Hydrolase				GO:0000041,GO:0000139,GO:0003674,GO:0003824,GO:0004008,GO:0005215,GO:0005375,GO:0005488,GO:0005507,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005794,GO:0005798,GO:0006810,GO:0006811,GO:0006812,GO:0006825,GO:0006873,GO:0006875,GO:0006878,GO:0006879,GO:0008150,GO:0008324,GO:0009987,GO:0012505,GO:0012506,GO:0012510,GO:0015075,GO:0015318,GO:0015399,GO:0015405,GO:0015662,GO:0016020,GO:0016021,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017111,GO:0019725,GO:0019829,GO:0022804,GO:0022853,GO:0022857,GO:0022890,GO:0030001,GO:0030003,GO:0030133,GO:0030135,GO:0030136,GO:0030140,GO:0030658,GO:0030659,GO:0030660,GO:0030662,GO:0030665,GO:0031090,GO:0031224,GO:0031410,GO:0031982,GO:0031984,GO:0034220,GO:0035434,GO:0042592,GO:0042623,GO:0042625,GO:0042626,GO:0043167,GO:0043169,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043492,GO:0043682,GO:0044422,GO:0044424,GO:0044425,GO:0044431,GO:0044433,GO:0044444,GO:0044446,GO:0044464,GO:0046872,GO:0046873,GO:0046914,GO:0046915,GO:0046916,GO:0048878,GO:0050801,GO:0051179,GO:0051234,GO:0055065,GO:0055070,GO:0055072,GO:0055076,GO:0055080,GO:0055082,GO:0055085,GO:0060003,GO:0065007,GO:0065008,GO:0090662,GO:0097708,GO:0098588,GO:0098655,GO:0098660,GO:0098662,GO:0098771,GO:0098791,GO:0098805,GO:0099131,GO:0099132	Cu2 -exporting ATPase | E1-E2_ATPase,HMA,Hydrolase | NA | NA	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
gene-IR01_04410	lcl|NW_015622506.1_cds_XP_016224662.1_4853	-0.630588805467537	0.0180309978029018	Siderochrome-iron transporter (Sit1)	MFS_1,Sugar_tr,TRI12				GO:0000322,GO:0000323,GO:0000324,GO:0003674,GO:0005215,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005737,GO:0005768,GO:0005773,GO:0005774,GO:0005886,GO:0005887,GO:0006810,GO:0006811,GO:0006812,GO:0006820,GO:0006857,GO:0006873,GO:0006875,GO:0006879,GO:0008150,GO:0008152,GO:0008324,GO:0009237,GO:0009987,GO:0012505,GO:0015075,GO:0015077,GO:0015078,GO:0015291,GO:0015297,GO:0015298,GO:0015299,GO:0015318,GO:0015343,GO:0015344,GO:0015672,GO:0015688,GO:0015711,GO:0015833,GO:0015891,GO:0016020,GO:0016021,GO:0019725,GO:0019748,GO:0022804,GO:0022857,GO:0022890,GO:0030003,GO:0031090,GO:0031224,GO:0031226,GO:0031410,GO:0031982,GO:0033212,GO:0033214,GO:0034220,GO:0034635,GO:0034775,GO:0035443,GO:0035672,GO:0042592,GO:0042886,GO:0042939,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044237,GO:0044422,GO:0044424,GO:0044425,GO:0044437,GO:0044444,GO:0044446,GO:0044459,GO:0044464,GO:0044718,GO:0046916,GO:0048878,GO:0050801,GO:0051179,GO:0051181,GO:0051184,GO:0051186,GO:0051234,GO:0055065,GO:0055072,GO:0055076,GO:0055080,GO:0055082,GO:0055085,GO:0065007,GO:0065008,GO:0071702,GO:0071705,GO:0071944,GO:0072337,GO:0072348,GO:0097708,GO:0098588,GO:0098655,GO:0098656,GO:0098660,GO:0098662,GO:0098771,GO:0098805,GO:1901678,GO:1902600	Siderochrome-iron transporter (Sit1) | MFS_1,Sugar_tr,TRI12 | NA | NA	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE
gene-IR01_04609	lcl|NW_015622506.1_cds_XP_016224875.1_5066	2.67223319817131	3.81897621617848e-39	Belongs to the cation transport ATPase (P-type) (TC 3.A.3) family. Type IV subfamily	Cation_ATPase,E1-E2_ATPase,Hydrolase,PhoLip_ATPase_C,PhoLip_ATPase_N				GO:0000749,GO:0003674,GO:0003824,GO:0004012,GO:0005215,GO:0005319,GO:0005548,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005783,GO:0005794,GO:0005798,GO:0005802,GO:0005886,GO:0005937,GO:0006810,GO:0006811,GO:0006820,GO:0006869,GO:0006886,GO:0006892,GO:0006900,GO:0006996,GO:0008104,GO:0008150,GO:0009987,GO:0010033,GO:0010876,GO:0012505,GO:0015031,GO:0015711,GO:0015748,GO:0015833,GO:0015914,GO:0016020,GO:0016021,GO:0016043,GO:0016050,GO:0016192,GO:0016197,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017111,GO:0019236,GO:0030133,GO:0030135,GO:0030136,GO:0030140,GO:0030427,GO:0031136,GO:0031137,GO:0031139,GO:0031224,GO:0031410,GO:0031982,GO:0031984,GO:0032456,GO:0033036,GO:0034204,GO:0034613,GO:0042221,GO:0042623,GO:0042886,GO:0042995,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043332,GO:0043492,GO:0043900,GO:0043902,GO:0044422,GO:0044424,GO:0044425,GO:0044431,GO:0044444,GO:0044446,GO:0044459,GO:0044463,GO:0044464,GO:0045184,GO:0045332,GO:0046907,GO:0046999,GO:0048193,GO:0048194,GO:0048518,GO:0048522,GO:0050789,GO:0050794,GO:0050896,GO:0051179,GO:0051234,GO:0051286,GO:0051641,GO:0051649,GO:0051716,GO:0061024,GO:0065007,GO:0065008,GO:0070727,GO:0070867,GO:0070887,GO:0071310,GO:0071444,GO:0071702,GO:0071705,GO:0071840,GO:0071944,GO:0097035,GO:0097708,GO:0098791,GO:0120025,GO:0120038,GO:2000241,GO:2000243	Belongs to the cation transport ATPase (P-type) (TC 3.A.3) family. Type IV subfamily | Cation_ATPase,E1-E2_ATPase,Hydrolase,PhoLip_ATPase_C,PhoLip_ATPase_N | NA | NA	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
