pretty_id	gene_id	log2FoldChange	padj	Description	PFAMs	ips_ipr	ips_ipr_desc	ips_pathway	go_all	text	pfam_is_metal	pfam_is_transporterish	is_metal	is_abc_like	is_mfs_like	mdr_kw_hit	is_mdr	is_nutr
gene-IR01_01772	lcl|NW_015622504.1_cds_XP_016229645.1_1975	-2.9418507030279	2.41683489897432e-05	Fungal trichothecene efflux pump (TRI12)	MFS_1					Fungal trichothecene efflux pump (TRI12) | MFS_1 | NA | NA	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE
gene-IR01_02000	lcl|NW_015622505.1_cds_XP_016225759.1_2220	-2.52645228673164	2.18047842895904e-05	Fungal trichothecene efflux pump (TRI12)	MFS_1					Fungal trichothecene efflux pump (TRI12) | MFS_1 | NA | NA	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE
gene-IR01_03260	lcl|NW_015622505.1_cds_XP_016227136.1_3598	1.19151574444372	0.0119786320502443	Fungal trichothecene efflux pump (TRI12)	MFS_1					Fungal trichothecene efflux pump (TRI12) | MFS_1 | NA | NA	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE
gene-IR01_03603	lcl|NW_015622505.1_cds_XP_016227506.1_3967	-1.24825055766609	0.0106579978130606	MFS transporter, DHA1 family, multidrug resistance protein	MFS_1				GO:0000296,GO:0000297,GO:0000322,GO:0000323,GO:0000324,GO:0000329,GO:0003674,GO:0005215,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005773,GO:0005774,GO:0005886,GO:0005933,GO:0006810,GO:0006811,GO:0006812,GO:0006855,GO:0008150,GO:0008324,GO:0008519,GO:0009405,GO:0009987,GO:0015075,GO:0015101,GO:0015203,GO:0015238,GO:0015606,GO:0015695,GO:0015696,GO:0015846,GO:0015847,GO:0015848,GO:0015893,GO:0016020,GO:0016021,GO:0022857,GO:0031090,GO:0031224,GO:0033101,GO:0034220,GO:0042221,GO:0042493,GO:0042710,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044010,GO:0044419,GO:0044422,GO:0044424,GO:0044425,GO:0044437,GO:0044444,GO:0044446,GO:0044459,GO:0044464,GO:0044764,GO:0050896,GO:0051179,GO:0051234,GO:0051704,GO:0055085,GO:0071702,GO:0071705,GO:0071944,GO:0072488,GO:0098588,GO:0098655,GO:0098805,GO:0098852,GO:1902047,GO:1903710,GO:1903711	MFS transporter, DHA1 family, multidrug resistance protein | MFS_1 | NA | NA	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE
gene-IR01_04149	lcl|NW_015622506.1_cds_XP_016224378.1_4569	-1.77833509607697	0.00384316873426649	Fungal trichothecene efflux pump (TRI12)	MFS_1					Fungal trichothecene efflux pump (TRI12) | MFS_1 | NA | NA	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE
gene-IR01_04502	lcl|NW_015622506.1_cds_XP_016224762.1_4953	-1.52543982216931	0.0182043707631109	MFS multidrug transporter	MFS_1					MFS multidrug transporter | MFS_1 | NA | NA	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE
gene-IR01_05349	lcl|NW_015622507.1_cds_XP_016222231.1_5917	-1.53278127275932	0.000285697872753612	Major Facilitator Superfamily	MFS_1,TRI12				GO:0003674,GO:0005215,GO:0005575,GO:0005623,GO:0005886,GO:0005887,GO:0006810,GO:0006873,GO:0006875,GO:0006879,GO:0008150,GO:0009987,GO:0015343,GO:0015688,GO:0015891,GO:0016020,GO:0016021,GO:0019725,GO:0022857,GO:0030003,GO:0031224,GO:0031226,GO:0033212,GO:0033214,GO:0042592,GO:0044425,GO:0044459,GO:0044464,GO:0044718,GO:0046916,GO:0048878,GO:0050801,GO:0051179,GO:0051181,GO:0051184,GO:0051234,GO:0055065,GO:0055072,GO:0055076,GO:0055080,GO:0055082,GO:0055085,GO:0065007,GO:0065008,GO:0071944,GO:0098771,GO:1901678	Major Facilitator Superfamily | MFS_1,TRI12 | NA | NA	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE
gene-IR01_06636	lcl|NW_015622507.1_cds_XP_016223676.1_7362	1.32931246269759	0.0314405379453411	Major Facilitator Superfamily	MFS_1,TRI12				GO:0003674,GO:0005215,GO:0005575,GO:0005623,GO:0005886,GO:0005887,GO:0006810,GO:0006873,GO:0006875,GO:0006879,GO:0008150,GO:0009987,GO:0015343,GO:0015688,GO:0015891,GO:0016020,GO:0016021,GO:0019725,GO:0022857,GO:0030003,GO:0031224,GO:0031226,GO:0033212,GO:0033214,GO:0042592,GO:0044425,GO:0044459,GO:0044464,GO:0044718,GO:0046916,GO:0048878,GO:0050801,GO:0051179,GO:0051181,GO:0051184,GO:0051234,GO:0055065,GO:0055072,GO:0055076,GO:0055080,GO:0055082,GO:0055085,GO:0065007,GO:0065008,GO:0071944,GO:0098771,GO:1901678	Major Facilitator Superfamily | MFS_1,TRI12 | NA | NA	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE
gene-IR01_07705	lcl|NW_015622508.1_cds_XP_016221881.1_8528	1.97151503954358	0.000383345068329187	Fungal trichothecene efflux pump (TRI12)	MFS_1					Fungal trichothecene efflux pump (TRI12) | MFS_1 | NA | NA	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE
gene-IR01_07919	lcl|NW_015622508.1_cds_XP_016222114.1_8760	1.03011215466627	0.0104916360492432	Vacuolar effluxer which mediate the efflux of amino acids resulting from autophagic degradation. The release of autophagic amino acids allows the maintenance of protein synthesis and viability during nitrogen starvation	ATG22				GO:0000322,GO:0000323,GO:0000324,GO:0000329,GO:0003333,GO:0003674,GO:0005215,GO:0005342,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005773,GO:0005774,GO:0006810,GO:0006811,GO:0006820,GO:0006865,GO:0007034,GO:0008150,GO:0008509,GO:0008514,GO:0015075,GO:0015171,GO:0015179,GO:0015318,GO:0015562,GO:0015711,GO:0015807,GO:0015849,GO:0016020,GO:0016021,GO:0022857,GO:0031090,GO:0031166,GO:0031224,GO:0031300,GO:0031301,GO:0031310,GO:0032974,GO:0034220,GO:0034486,GO:0034639,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044422,GO:0044424,GO:0044425,GO:0044437,GO:0044444,GO:0044446,GO:0044464,GO:0046942,GO:0046943,GO:0051179,GO:0051234,GO:0055085,GO:0071627,GO:0071628,GO:0071702,GO:0071705,GO:0098588,GO:0098656,GO:0098805,GO:0098852,GO:1902475,GO:1903825,GO:1905039	Vacuolar effluxer which mediate the efflux of amino acids resulting from autophagic degradation. The release of autophagic amino acids allows the maintenance of protein synthesis and viability during nitrogen starvation | ATG22 | NA | NA	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE
gene-IR01_08817	lcl|NW_015622509.1_cds_XP_016220704.1_9772	-3.94136820130084	0.00138229285829825	Vacuolar effluxer which mediate the efflux of amino acids resulting from autophagic degradation. The release of autophagic amino acids allows the maintenance of protein synthesis and viability during nitrogen starvation	ATG22					Vacuolar effluxer which mediate the efflux of amino acids resulting from autophagic degradation. The release of autophagic amino acids allows the maintenance of protein synthesis and viability during nitrogen starvation | ATG22 | NA | NA	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE
