pretty_id	gene_id	log2FoldChange	padj	Description	PFAMs	ips_ipr	ips_ipr_desc	ips_pathway	go_all	text	pfam_is_metal	pfam_is_transporterish	is_metal	is_abc_like	is_mfs_like	mdr_kw_hit	is_mdr	is_nutr
gene-IR01_00245	lcl|NW_015622504.1_cds_XP_016227937.1_267	0.741498902637042	0.00140098278232752	Iron-sulfur clusters transporter atm1, mitochondrial	ABC_membrane,ABC_tran				GO:0000166,GO:0003674,GO:0003824,GO:0005215,GO:0005488,GO:0005524,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005740,GO:0005743,GO:0006790,GO:0006810,GO:0006839,GO:0006873,GO:0006875,GO:0006879,GO:0008144,GO:0008150,GO:0008152,GO:0009987,GO:0015399,GO:0015405,GO:0016020,GO:0016021,GO:0016043,GO:0016226,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017076,GO:0017111,GO:0019725,GO:0019866,GO:0022607,GO:0022804,GO:0022857,GO:0030003,GO:0030554,GO:0031090,GO:0031163,GO:0031224,GO:0031966,GO:0031967,GO:0031975,GO:0032553,GO:0032555,GO:0032559,GO:0035639,GO:0036094,GO:0042592,GO:0042623,GO:0042626,GO:0043167,GO:0043168,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043492,GO:0044085,GO:0044237,GO:0044422,GO:0044424,GO:0044425,GO:0044429,GO:0044444,GO:0044446,GO:0044464,GO:0046916,GO:0048878,GO:0050801,GO:0051179,GO:0051186,GO:0051234,GO:0055065,GO:0055072,GO:0055076,GO:0055080,GO:0055082,GO:0055085,GO:0065007,GO:0065008,GO:0071840,GO:0097159,GO:0097367,GO:0098771,GO:1901265,GO:1901363,GO:1990542	Iron-sulfur clusters transporter atm1, mitochondrial | ABC_membrane,ABC_tran | NA | NA	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE
gene-IR01_00862	lcl|NW_015622504.1_cds_XP_016228626.1_956	1.03951700111551	0.00194086694268428	Ion transport protein	Ion_trans				GO:0001508,GO:0003674,GO:0005215,GO:0005216,GO:0005244,GO:0005245,GO:0005261,GO:0005262,GO:0005575,GO:0005623,GO:0005886,GO:0005887,GO:0006810,GO:0006811,GO:0006812,GO:0006816,GO:0006873,GO:0006874,GO:0006875,GO:0007154,GO:0007165,GO:0007204,GO:0008150,GO:0008324,GO:0009987,GO:0015075,GO:0015085,GO:0015267,GO:0015318,GO:0016020,GO:0016021,GO:0019722,GO:0019725,GO:0019932,GO:0022803,GO:0022832,GO:0022836,GO:0022838,GO:0022839,GO:0022843,GO:0022857,GO:0022890,GO:0023052,GO:0030001,GO:0030003,GO:0031224,GO:0031226,GO:0034220,GO:0035556,GO:0035585,GO:0042391,GO:0042592,GO:0044425,GO:0044459,GO:0044464,GO:0046873,GO:0048878,GO:0050789,GO:0050794,GO:0050801,GO:0050896,GO:0051179,GO:0051234,GO:0051480,GO:0051641,GO:0051649,GO:0051716,GO:0051899,GO:0055065,GO:0055074,GO:0055080,GO:0055082,GO:0055085,GO:0060401,GO:0060402,GO:0065007,GO:0065008,GO:0070509,GO:0070588,GO:0070838,GO:0071944,GO:0072503,GO:0072507,GO:0072511,GO:0086010,GO:0097553,GO:0098655,GO:0098657,GO:0098659,GO:0098660,GO:0098662,GO:0098703,GO:0098739,GO:0098771,GO:0099587,GO:1902656	Ion transport protein | Ion_trans | NA | NA	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
gene-IR01_00927	lcl|NW_015622504.1_cds_XP_016228694.1_1024	-2.31422062248781	9.39229842988806e-05	NCS1 family nucleobase cation symporter-1	Transp_cyt_pur				GO:0000139,GO:0000322,GO:0000323,GO:0000324,GO:0003674,GO:0005215,GO:0005350,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005773,GO:0005783,GO:0005794,GO:0005886,GO:0006810,GO:0006811,GO:0006812,GO:0006855,GO:0008150,GO:0008324,GO:0012505,GO:0015075,GO:0015205,GO:0015210,GO:0015238,GO:0015291,GO:0015293,GO:0015294,GO:0015318,GO:0015391,GO:0015505,GO:0015851,GO:0015855,GO:0015857,GO:0015893,GO:0016020,GO:0022804,GO:0022857,GO:0022890,GO:0031090,GO:0031984,GO:0034220,GO:0042221,GO:0042493,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044422,GO:0044424,GO:0044425,GO:0044431,GO:0044444,GO:0044446,GO:0044459,GO:0044464,GO:0044853,GO:0045121,GO:0050896,GO:0051179,GO:0051234,GO:0055085,GO:0071702,GO:0071705,GO:0071944,GO:0072531,GO:0098588,GO:0098589,GO:0098590,GO:0098655,GO:0098657,GO:0098721,GO:0098739,GO:0098791,GO:0098805,GO:0098857,GO:1903791,GO:1904082	NCS1 family nucleobase cation symporter-1 | Transp_cyt_pur | NA | NA	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
gene-IR01_01500	lcl|NW_015622504.1_cds_XP_016229352.1_1682	-2.18079765631539	0.000141001606347773	Manganese transporter	Nramp				GO:0000041,GO:0000322,GO:0000323,GO:0000324,GO:0000329,GO:0003674,GO:0005215,GO:0005384,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005768,GO:0005770,GO:0005773,GO:0005774,GO:0005783,GO:0005789,GO:0005794,GO:0005802,GO:0005886,GO:0006810,GO:0006811,GO:0006812,GO:0006824,GO:0006825,GO:0006826,GO:0006828,GO:0006873,GO:0006875,GO:0006876,GO:0006877,GO:0006878,GO:0006879,GO:0008150,GO:0008324,GO:0009987,GO:0012505,GO:0015075,GO:0015077,GO:0015078,GO:0015291,GO:0015293,GO:0015294,GO:0015295,GO:0015318,GO:0015672,GO:0015691,GO:0016020,GO:0016021,GO:0019725,GO:0022804,GO:0022857,GO:0022890,GO:0030001,GO:0030003,GO:0030026,GO:0030176,GO:0031090,GO:0031224,GO:0031227,GO:0031410,GO:0031982,GO:0031984,GO:0034220,GO:0042175,GO:0042592,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044422,GO:0044424,GO:0044425,GO:0044431,GO:0044432,GO:0044437,GO:0044444,GO:0044446,GO:0044464,GO:0046873,GO:0046915,GO:0046916,GO:0048878,GO:0050801,GO:0051179,GO:0051234,GO:0055065,GO:0055068,GO:0055070,GO:0055071,GO:0055072,GO:0055073,GO:0055076,GO:0055080,GO:0055082,GO:0055085,GO:0065007,GO:0065008,GO:0070838,GO:0071421,GO:0071944,GO:0072503,GO:0072507,GO:0072511,GO:0097708,GO:0098588,GO:0098655,GO:0098660,GO:0098662,GO:0098771,GO:0098791,GO:0098805,GO:0098827,GO:0098852,GO:1902600	Manganese transporter | Nramp | NA | NA	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
gene-IR01_02175	lcl|NW_015622505.1_cds_XP_016225940.1_2401	-5.40436857361812	1.09583353428638e-19	Belongs to the cation transport ATPase (P-type) (TC 3.A.3) family	Cation_ATPase,Cation_ATPase_C,Cation_ATPase_N,E1-E2_ATPase,Hydrolase				GO:0000322,GO:0000323,GO:0000324,GO:0003674,GO:0003824,GO:0005215,GO:0005388,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005773,GO:0005886,GO:0006810,GO:0006811,GO:0006812,GO:0006813,GO:0006814,GO:0006816,GO:0006873,GO:0006874,GO:0006875,GO:0006950,GO:0006970,GO:0006972,GO:0007154,GO:0008150,GO:0008324,GO:0008554,GO:0008556,GO:0009267,GO:0009268,GO:0009605,GO:0009628,GO:0009651,GO:0009987,GO:0009991,GO:0015075,GO:0015077,GO:0015079,GO:0015081,GO:0015085,GO:0015318,GO:0015399,GO:0015405,GO:0015662,GO:0015672,GO:0016020,GO:0016021,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017111,GO:0019725,GO:0019829,GO:0022804,GO:0022853,GO:0022857,GO:0022890,GO:0030001,GO:0030003,GO:0031224,GO:0031667,GO:0031668,GO:0031669,GO:0033554,GO:0034220,GO:0035725,GO:0042149,GO:0042592,GO:0042594,GO:0042623,GO:0042625,GO:0042626,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043492,GO:0044424,GO:0044425,GO:0044444,GO:0044464,GO:0046873,GO:0048878,GO:0050801,GO:0050896,GO:0051179,GO:0051208,GO:0051234,GO:0051235,GO:0051716,GO:0055065,GO:0055074,GO:0055080,GO:0055082,GO:0055085,GO:0065007,GO:0065008,GO:0070588,GO:0070838,GO:0071435,GO:0071496,GO:0071804,GO:0071805,GO:0071944,GO:0072503,GO:0072507,GO:0072511,GO:0090662,GO:0097623,GO:0098655,GO:0098660,GO:0098662,GO:0098771,GO:0099131,GO:0099132,GO:0140115	Belongs to the cation transport ATPase (P-type) (TC 3.A.3) family | Cation_ATPase,Cation_ATPase_C,Cation_ATPase_N,E1-E2_ATPase,Hydrolase | NA | NA	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
gene-IR01_02233	lcl|NW_015622505.1_cds_XP_016226006.1_2468	2.23309680594329	7.28895426248544e-05	ZIP Zinc transporter	Zip				GO:0000007,GO:0000041,GO:0003674,GO:0005215,GO:0005385,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005783,GO:0005886,GO:0006810,GO:0006811,GO:0006812,GO:0006829,GO:0008150,GO:0008324,GO:0012505,GO:0015075,GO:0015318,GO:0016020,GO:0016021,GO:0022857,GO:0022890,GO:0030001,GO:0031224,GO:0034220,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044425,GO:0044444,GO:0044464,GO:0046873,GO:0046915,GO:0051179,GO:0051234,GO:0055085,GO:0070838,GO:0071577,GO:0071944,GO:0072509,GO:0072511,GO:0098655,GO:0098660,GO:0098662	ZIP Zinc transporter | Zip | NA | NA	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
gene-IR01_02606	lcl|NW_015622505.1_cds_XP_016226414.1_2874	-4.03698457437201	0.047045233744703	ZIP Zinc transporter	Zip					ZIP Zinc transporter | Zip | NA | NA	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
gene-IR01_02607	lcl|NW_015622505.1_cds_XP_016226413.1_2875	-2.64589453470393	2.9264227172048e-09	ZIP Zinc transporter	Zip					ZIP Zinc transporter | Zip | NA | NA	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
gene-IR01_02804	lcl|NW_015622505.1_cds_XP_016226633.1_3094	-3.99519926580538	4.10104555484962e-20	Ctr copper transporter family	Ctr				GO:0000041,GO:0000322,GO:0000323,GO:0000324,GO:0003674,GO:0005215,GO:0005375,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005773,GO:0005886,GO:0005887,GO:0006810,GO:0006811,GO:0006812,GO:0006825,GO:0008150,GO:0008324,GO:0015075,GO:0015318,GO:0015677,GO:0015679,GO:0016020,GO:0016021,GO:0022857,GO:0022890,GO:0030001,GO:0031224,GO:0031226,GO:0034220,GO:0035434,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044425,GO:0044444,GO:0044459,GO:0044464,GO:0046873,GO:0046915,GO:0051179,GO:0051234,GO:0055085,GO:0071944,GO:0098655,GO:0098657,GO:0098659,GO:0098660,GO:0098662,GO:0098705,GO:0098739,GO:0099587	Ctr copper transporter family | Ctr | NA | NA	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
gene-IR01_02805	lcl|NW_015622505.1_cds_XP_016226634.1_3095	-3.26159100802154	0.0406386267770287	Ctr copper transporter family	Ctr				GO:0000041,GO:0000322,GO:0000323,GO:0000324,GO:0003674,GO:0005215,GO:0005375,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005773,GO:0005886,GO:0005887,GO:0006810,GO:0006811,GO:0006812,GO:0006825,GO:0008150,GO:0008324,GO:0015075,GO:0015318,GO:0015677,GO:0015679,GO:0016020,GO:0016021,GO:0022857,GO:0022890,GO:0030001,GO:0031224,GO:0031226,GO:0034220,GO:0035434,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044425,GO:0044444,GO:0044459,GO:0044464,GO:0046873,GO:0046915,GO:0051179,GO:0051234,GO:0055085,GO:0071944,GO:0098655,GO:0098657,GO:0098659,GO:0098660,GO:0098662,GO:0098705,GO:0098739,GO:0099587	Ctr copper transporter family | Ctr | NA | NA	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
